sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,delivery_time,description,enable_googlecheckout,gallery,gender,geschmacksrichtugen,gift_message_available,gross_weight,has_options,image,image_label,liters,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,model,msrp,msrp_display_actual_price_type,msrp_enabled,name,net_weight,news_from_date,news_to_date,options_container,page_layout,price,processor,ram_size,required_options,response_time,room,screensize,shape,shirt_size,shoe_size,shoe_type,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
test-Vanielle-Esspapier,,Cake,simple,,,base,,"2013-02-27 09:44:23",,,,,"2-3 Tage","test description",1,,,Vanielle,,,0,no_selection,,,Esspapier,,,,,,,,"Use config","Use config",test-Vanielle-Esspapier,,,,"Block after Info Column",,75.0000,,,0,,,,,,,,"test description",no_selection,,,,,1,0,no_selection,,"2014-01-28 11:16:09",test-vanielle-esspapier,test-vanielle-esspapier.html,1,4.0000,55.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-Vanielle-Fondant,,Cake,simple,,,base,,"2013-02-27 09:44:33",,,,,"2-3 Tage","test description",1,,,Vanielle,,,0,,,,Fondant,,,,,,,,"Use config","Use config",test-Vanielle-Fondant,,,,"Block after Info Column",,75.0000,,,0,,,,,,,,"test description",,,,,,1,0,,,"2013-02-27 09:44:33",test-vanielle-fondant,test-vanielle-fondant.html,1,4.0000,56.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-Erdbeer-Esspapier,,Cake,simple,,,base,,"2013-02-27 09:44:40",,,,,"2-3 Tage","test description",1,,,Erdbeer,,,0,,,,Esspapier,,,,,,,,"Use config","Use config",test-Erdbeer-Esspapier,,,,"Block after Info Column",,75.0000,,,0,,,,,,,,"test description",,,,,,1,0,,,"2013-02-27 09:44:40",test-erdbeer-esspapier,test-erdbeer-esspapier.html,1,4.0000,56.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-Erdbeer-Fondant,,Cake,simple,,,base,,"2013-02-27 09:44:48",,,,,"2-3 Tage","test description",1,,,Erdbeer,,,0,,,,Fondant,,,,,,,,"Use config","Use config",test-Erdbeer-Fondant,,,,"Block after Info Column",,75.0000,,,0,,,,,,,,"test description",,,,,,1,0,,,"2013-02-27 09:44:48",test-erdbeer-fondant,test-erdbeer-fondant.html,1,4.0000,56.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"test- Schoko-Esspapier",,Cake,simple,,,base,,"2013-02-27 09:44:55",,,,,"2-3 Tage","test description",1,,," Schoko",,,0,,,,Esspapier,,,,,,,,"Use config","Use config","test- Schoko-Esspapier",,,,"Block after Info Column",,75.0000,,,0,,,,,,,,"test description",,,,,,1,0,,,"2013-02-27 09:44:55",test-schoko-esspapier,test-schoko-esspapier.html,1,4.0000,56.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"test- Schoko-Fondant",,Cake,simple,,,base,,"2013-02-27 09:45:01",,,,,"2-3 Tage","test description",1,,," Schoko",,,0,,,,Fondant,,,,,,,,"Use config","Use config","test- Schoko-Fondant",,,,"Block after Info Column",,75.0000,,,0,,,,,,,,"test description",,,,,,1,0,,,"2013-02-27 09:45:01",test-schoko-fondant,test-schoko-fondant.html,1,4.0000,55.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-Nuss-Esspapier,,Cake,simple,,,base,,"2013-02-27 09:45:08",,,,,"2-3 Tage","test description",1,,,Nuss,,,0,,,,Esspapier,,,,,,,,"Use config","Use config",test-Nuss-Esspapier,,,,"Block after Info Column",,75.0000,,,0,,,,,,,,"test description",,,,,,1,0,,,"2013-02-27 09:45:08",test-nuss-esspapier,test-nuss-esspapier.html,1,4.0000,56.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-Nuss-Fondant,,Cake,simple,,,base,,"2013-02-27 09:45:15",,,,,"2-3 Tage","test description",1,,,Nuss,,,0,no_selection,,,Fondant,,,,,,,,"Use config","Use config",test-Nuss-Fondant,,,,"Block after Info Column",,75.0000,,,0,,,,,,,,"test description",no_selection,,,,,1,0,no_selection,,"2014-01-28 11:12:56",test-nuss-fondant,test-nuss-fondant.html,1,4.0000,56.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test2-Vanielle-Esspapier,,Cake,simple,,,base,,"2013-02-27 10:45:41",,,,,"2-3 Tage","test 2 desc",1,,,Vanielle,,,0,,,,Esspapier,,,,,,,,"Use config","Use config",test2-Vanielle-Esspapier,,,,"Block after Info Column",,33.0000,,,0,,,,,,,,"test 2 desc",,,,,,1,0,,,"2013-02-27 10:45:41",test2-vanielle-esspapier,test2-vanielle-esspapier.html,1,2.0000,77.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test2-Vanielle-Fondant,,Cake,simple,,,base,,"2013-02-27 10:45:51",,,,,"2-3 Tage","test 2 desc",1,,,Vanielle,,,0,,,,Fondant,,,,,,,,"Use config","Use config",test2-Vanielle-Fondant,,,,"Block after Info Column",,33.0000,,,0,,,,,,,,"test 2 desc",,,,,,1,0,,,"2013-02-27 10:45:51",test2-vanielle-fondant,test2-vanielle-fondant.html,1,2.0000,77.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
