"Update Cart", "Aktualisieren"
"Update Shopping Cart", "Aktualisieren"
"View Cart", "Anzeigen"
"Create image", "Konfigurieren"
"Shopping cart", "Warenkorb"
"Total:", "Gesamt:"
"Sign Up", "Registrieren"
"Your email", "E-Mail"
"Newsletter Sign Up", "Newsletter anmelden"
"WRITE YOUR REVIEW", "Geben Sie Ihr Gutachten ab"
"Details", "Details"
"Latest Arrivals", "Die letzten Waren"
"News", "Nachrichten"
"All news", "Nachrichtenliste"
"There are no news.", "Keine Nachrichten"
"View Details", "Details sehen"
"%s News", "%s Nachrichten"
"Color", "Farbe"
"Add text", "Text eingeben"
"Text to canvas", "Text anwenden"
"There Are No Works Yet", "Keine vorhandenen Vorlagen"
"User Uploads", "Meine Bilder"
"Cake Configurator", "Kuchen-Konfigurator"
"Text field", "Textfeld"
"No Pics", "Keine Bilder"
"Upload image:", "Bild wählen"
"Upload", "Laden"
"No User Uploads", "Keine Bilder geladen"
"No subcategories", "Keine Unterkategorien"
